participant_id,week,group,trad,avg_t,sed,avg_s
3,bsl,0,9,9,6,9
3,wk06,0,10,8,8,9
3,wk10,0,9,10,10,9
5,bsl,0,8,10,10,10
7,bsl,1,8,7,10,9
7,wk06,1,9,9,10,10
7,wk10,1,9,9,8,9
9,bsl,0,1,4,10,10
9,wk06,0,5,10,10,10
9,wk10,0,5,10,10,9
11,bsl,0,8,9,9,8
11,wk06,0,8,10,10,10
11,wk10,0,9,9,10,9
15,bsl,1,10,7,9,5
15,wk06,1,10,10,3,10
15,wk10,1,10,10,10,10
17,bsl,1,8,9,8,9
17,wk06,1,9,8,6,8
17,wk10,1,7,8,5,8
19,bsl,1,7,9,5,8
19,wk06,1,8,6,2,9
21,bsl,1,8,8,8,9
21,wk06,1,9,9,9,9
21,wk10,1,10,9,10,9
23,wk06,0,10,10,10,8
23,wk10,0,5,9,10,10
25,bsl,1,9,10,10,9
25,wk06,1,9,8,10,8
25,wk10,1,9,10,10,10
27,bsl,0,10,8,7,8
27,wk06,0,10,7,9,9
27,wk10,0,7,7,7,8
29,bsl,0,10,10,10,10
29,wk06,0,10,8,7,7
29,wk10,0,10,7,7,8
31,bsl,1,8,8,10,7
31,wk06,1,8,9,10,9
31,wk10,1,9,9,10,9
33,bsl,0,10,10,10,6
33,wk06,0,10,7,10,10
33,wk10,0,10,10,10,10
35,bsl,1,10,8,10,7
35,wk06,1,10,8,10,9
35,wk10,1,10,8,9,9
37,bsl,1,9,8,10,9
37,wk06,1,8,5,9,7
37,wk10,1,8,6,9,5
39,bsl,0,10,7,10,5
39,wk06,0,5,6,7,7
39,wk10,0,6,6,6,8
41,bsl,1,10,6,5,5
41,wk06,1,9,10,8,9
41,wk10,1,9,9,9,9
45,bsl,0,10,10,10,9
45,wk10,0,9,10,10,10
47,bsl,1,10,7,7,7
47,wk06,1,8,8,7,8
47,wk10,1,8,8,5,6
49,bsl,0,5,5,5,6
49,wk06,0,5,5,4,7
49,wk10,0,5,6,4,5
51,bsl,1,9,7,10,8
51,wk06,1,10,8,9,8
51,wk10,1,8,8,9,9
53,bsl,0,5,9,7,7
53,wk06,0,10,9,10,8
53,wk10,0,7,9,6,6
55,bsl,0,10,10,10,10
55,wk06,0,5,10,10,10
55,wk10,0,10,10,10,10
57,bsl,0,8,3,5,6
57,wk06,0,5,6,7,6
57,wk10,0,5,8,5,5
59,bsl,1,8,9,9,10
59,wk06,1,8,9,9,8
59,wk10,1,4,6,5,8
61,bsl,1,9,7,7,7
61,wk06,1,10,5,3,5
61,wk10,1,5,5,5,5
65,bsl,0,6,5,9,7
65,wk06,0,7,9,6,5
65,wk10,0,10,10,6,10
67,bsl,1,10,10,3,10
67,wk06,1,3,10,5,10
67,wk10,1,5,10,6,10
69,bsl,1,10,10,10,10
69,wk06,1,10,10,10,10
69,wk10,1,9,10,10,10
71,bsl,0,10,9,10,9
71,wk06,0,9,9,10,8
71,wk10,0,9,9,9,7
73,bsl,0,7,6,6,7
73,wk06,0,6,8,7,7
73,wk10,0,6,6,6,7
75,bsl,0,5,8,10,9
75,wk06,0,7,8,9,9
75,wk10,0,3,9,6,8
77,bsl,1,10,8,7,8
77,wk06,1,9,9,9,9
77,wk10,1,9,8,9,8
79,bsl,1,8,7,10,7
79,wk06,1,10,10,10,10
79,wk10,1,10,10,9,10
81,bsl,0,7,7,6,7
81,wk06,0,7,9,6,9
81,wk10,0,6,5,5,7
85,bsl,0,8,9,9,10
85,wk06,0,8,9,10,10
85,wk10,0,9,9,9,10
87,bsl,1,10,9,9,8
87,wk06,1,10,9,9,9
87,wk10,1,7,9,7,8
89,bsl,1,10,9,10,10
89,wk06,1,10,9,10,9
89,wk10,1,9,9,8,8
91,bsl,1,10,10,10,10
93,bsl,0,10,10,10,10
93,wk06,0,10,10,10,10
93,wk10,0,10,5,6,8
95,bsl,0,10,8,10,8
95,wk06,0,6,6,10,8
95,wk10,0,10,8,10,6
99,bsl,0,10,7,10,10
99,wk06,0,10,8,10,10
99,wk10,0,8,9,10,10
101,bsl,0,10,10,7,10
101,wk06,0,10,6,7,7
101,wk10,0,10,7,10,7
103,bsl,1,10,8,9,10
103,wk06,1,10,9,7,8
103,wk10,1,10,10,10,10
105,bsl,1,10,9,10,9
105,wk06,1,10,10,9,9
105,wk10,1,10,10,10,10
111,bsl,1,7,7,9,7
111,wk06,1,9,10,9,8
111,wk10,1,10,10,9,9
113,bsl,1,10,9,10,9
113,wk06,1,10,9,10,10
113,wk10,1,10,9,10,10
115,bsl,1,6,7,7,9
115,wk06,1,7,10,7,8
115,wk10,1,6,5,4,6
117,bsl,0,7,6,8,6
117,wk06,1,8,10,9,9
117,wk10,1,9,6,9,9
