volunteer_number,week,x10_1_how_much_time_did_you_spend_in_sports_active_games,participant_id,time
3,10,0,3,0
3,10,0,3,0
3,10,0,3,0
3,10,0,3,0
3,6,1,3,1
3,6,0,3,0
3,6,0,3,0
3,3,0,3,0
3,3,0,3,0
3,1,0,3,0
3,1,0,3,0
3,1,1,3,1
3,Baseline,0,3,0
3,Baseline,0,3,0
3,Baseline,0,3,0
5,1,0,5,0
5,1,0,5,0
5,1,0,5,0
5,Baseline,1,5,1
5,Baseline,2,5,2
5,Baseline,2,5,2
7,10,2,7,2
7,10,1,7,1
7,10,1,7,1
7,10,1,7,1
7,6,1,7,1
7,6,0,7,0
7,6,0,7,0
7,3,1,7,1
7,3,1,7,1
7,3,0,7,0
7,3,1,7,1
7,Baseline,0,7,0
7,Baseline,0,7,0
7,Baseline,0,7,0
7,Baseline,1,7,1
9,10,1,9,1
9,6,1,9,1
9,3,0,9,0
9,3,1,9,1
9,1,1,9,1
9,Baseline,1,9,1
9,Baseline,0,9,0
9,Baseline,1,9,1
9,Baseline,1,9,1
11,1,1,11,1
11,Baseline,0,11,0
11,Baseline,1,11,1
11,Baseline,1,11,1
15,10,0,15,0
15,10,1,15,1
15,10,1,15,1
15,6,0,15,0
15,6,0,15,0
15,6,1,15,1
15,6,1,15,1
15,3,1,15,1
15,3,0,15,0
15,3,0,15,0
15,1,0,15,0
15,1,2,15,2
15,1,0,15,0
15,1,0,15,0
15,Baseline,0,15,0
15,Baseline,1,15,1
15,Baseline,0,15,0
15,Baseline,0,15,0
17,10,0,17,0
17,10,0,17,0
17,10,0,17,0
17,10,4,17,4
17,6,0,17,0
17,6,0,17,0
17,6,0,17,0
17,6,0,17,0
17,3,0,17,0
17,3,0,17,0
17,3,2,17,2
17,3,0,17,0
17,1,0,17,0
17,1,0,17,0
17,1,0,17,0
17,1,1,17,1
17,Baseline,0,17,0
17,Baseline,0,17,0
17,Baseline,1,17,1
17,Baseline,0,17,0
19,10,1,19,1
19,10,2,19,2
19,10,3,19,3
19,1,1,19,1
19,1,2,19,2
19,Baseline,1,19,1
19,Baseline,0,19,0
19,Baseline,0,19,0
21,10,0,21,0
